restaurant_id,platform,restaurant_name,city,city_lat,city_lon,locality,restaurant_type,cuisines,primary_cuisine,avg_cost_per_person_inr,price_category,distance_from_city_center_km,amenities_count,has_own_website,has_own_app,food_license_verified,listing_date,days_listed,days_operational,rating,total_reviews,delivery_fee_inr,avg_delivery_time_minutes,platform_commission_pct,discount_frequency_pct,estimated_monthly_orders,estimated_monthly_revenue_inr,estimated_net_profit_inr,market_share_pct,profit_diff_swiggy_minus_zomato_inr,orders_diff_swiggy_minus_zomato,rating_diff_swiggy_minus_zomato,delivery_time_diff_swiggy_minus_zomato_min,profit_winner,combined_monthly_orders,combined_monthly_revenue_inr,combined_monthly_profit_inr
REST000041,Swiggy,Restaurant_41,Mumbai,19.076,72.8777,Mumbai_Locality_20,Cloud Kitchen,Thai,Thai,972,Premium,1.1,3,False,False,False,2019-08-04,2476,3238,3.0,508,30,25,25,10,259,188811,184926,69,-73450,-113,-1.2999999999999998,-3,Zomato,631,452767,443302
REST000042,Swiggy,Restaurant_42,Mumbai,19.076,72.8777,Mumbai_Locality_4,Cloud Kitchen,Thai; Italian,Thai; Italian,1078,Premium,12.9,3,True,False,False,2025-03-16,425,2696,3.2,3399,84,44,24,7,262,214651,203647,61,-76951,-99,-1.2000000000000002,-11,Zomato,623,510411,484245
REST000043,Swiggy,Restaurant_43,Mumbai,19.076,72.8777,Mumbai_Locality_18,Casual Dining,Japanese,Japanese,739,Premium,8.6,5,True,False,True,2016-10-23,3491,2774,3.6,3474,63,38,18,8,223,135133,128109,49,-25985,-56,-0.8999999999999999,-1,Zomato,502,298015,282203
REST000044,Swiggy,Restaurant_44,Mumbai,19.076,72.8777,Mumbai_Locality_1,Food Truck,Biryani; Desserts,Biryani; Desserts,1496,Luxury,3.1,6,True,True,True,2024-07-17,667,2908,3.8,1183,35,28,17,8,127,157693,155470,58,-7537,-13,-0.40000000000000036,-4,Zomato,267,323150,318477
REST000045,Swiggy,Restaurant_45,Mumbai,19.076,72.8777,Mumbai_Locality_15,Food Truck,South Indian; Desserts,South Indian; Desserts,856,Premium,10.1,6,True,False,False,2023-01-16,1215,2019,3.8,4207,70,41,20,5,116,79436,75376,59,-4779,-9,-0.2999999999999998,-5,Zomato,241,163966,155531
REST000046,Swiggy,Restaurant_46,Mumbai,19.076,72.8777,Mumbai_Locality_14,Fine Dine,North Indian,North Indian,963,Premium,3.0,7,True,False,False,2024-05-12,733,1587,3.2,2911,35,31,18,14,116,91600,89570,40,-24571,-30,-0.7999999999999998,2,Zomato,262,208296,203711
REST000047,Swiggy,Restaurant_47,Mumbai,19.076,72.8777,Mumbai_Locality_4,Cafe,Pan-Asian,Pan-Asian,832,Premium,4.0,8,True,True,True,2017-10-06,3143,2442,3.7,2791,40,33,20,10,177,117811,114271,58,-18839,-24,-0.5,2,Zomato,378,254941,247381
REST000048,Swiggy,Restaurant_48,Mumbai,19.076,72.8777,Mumbai_Locality_19,Casual Dining,Lebanese,Lebanese,289,Budget,11.5,6,True,False,True,2021-02-05,1925,1868,4.4,1246,77,41,21,12,248,56620,47072,52,7368,45,0.8000000000000003,-8,Swiggy,451,104140,86776
REST000049,Swiggy,Restaurant_49,Mumbai,19.076,72.8777,Mumbai_Locality_20,Cloud Kitchen,Korean; Mughlai,Korean; Mughlai,1183,Premium,7.4,5,True,False,False,2025-07-20,299,647,4.7,2823,57,38,28,39,306,260638,251917,69,304,13,0.20000000000000018,0,Swiggy,599,520602,503530
REST000050,Swiggy,Restaurant_50,Mumbai,19.076,72.8777,Mumbai_Locality_9,Fine Dine,Japanese; Seafood,Japanese; Seafood,785,Premium,11.0,6,True,False,False,2020-08-02,2112,2719,3.7,1168,75,54,16,9,152,100228,94528,46,-17619,-33,-0.7999999999999998,9,Zomato,337,219312,206675
REST000051,Swiggy,Restaurant_51,Mumbai,19.076,72.8777,Mumbai_Locality_7,Fine Dine,Pan-Asian,Pan-Asian,357,Mid-Range,5.5,4,True,False,False,2025-10-19,208,3168,4.0,642,47,29,15,14,172,52193,48151,51,-1597,-8,-0.20000000000000018,-6,Zomato,352,106171,97899
REST000052,Swiggy,Restaurant_52,Mumbai,19.076,72.8777,Mumbai_Locality_20,QSR,Biryani; Street Food,Biryani; Street Food,903,Premium,4.6,6,True,False,False,2016-06-26,3610,3096,3.7,3852,42,31,22,13,237,166928,161951,54,-8200,-12,-0.19999999999999973,3,Zomato,486,342308,332102
REST000053,Swiggy,Restaurant_53,Mumbai,19.076,72.8777,Mumbai_Locality_4,Food Truck,Italian; Thai,Italian; Thai,604,Mid-Range,4.6,6,False,True,True,2024-09-29,593,3155,3.5,3593,42,38,19,10,120,58708,56188,64,-11238,-24,-0.7000000000000002,14,Zomato,264,129158,123614
REST000054,Swiggy,Restaurant_54,Mumbai,19.076,72.8777,Mumbai_Locality_16,QSR,Multi-Cuisine; Continental,Multi-Cuisine; Continental,1230,Luxury,7.0,3,True,True,True,2018-03-25,2973,51,4.0,4505,55,31,18,24,181,182556,177579,50,-35319,-36,-0.7999999999999998,-12,Zomato,398,401422,390477
REST000055,Swiggy,Restaurant_55,Mumbai,19.076,72.8777,Mumbai_Locality_12,QSR,Mexican,Mexican,1189,Premium,4.0,5,True,True,False,2017-08-20,3190,1736,3.6,4319,40,34,22,11,200,185484,181484,45,-28326,-17,-0.2999999999999998,7,Zomato,417,399634,391294
REST000056,Swiggy,Restaurant_56,Mumbai,19.076,72.8777,Mumbai_Locality_11,Casual Dining,South Indian,South Indian,279,Budget,12.3,5,True,True,False,2023-01-30,1201,747,4.5,1503,81,47,18,21,223,51017,41986,41,7802,30,0.6000000000000001,10,Swiggy,416,93017,76170
REST000057,Swiggy,Restaurant_57,Mumbai,19.076,72.8777,Mumbai_Locality_4,Fine Dine,Lebanese,Lebanese,1168,Premium,12.1,4,True,False,False,2018-11-16,2737,1819,4.3,1540,80,43,12,23,161,165482,159042,44,23745,19,0.5,-12,Swiggy,303,306459,294339
REST000058,Swiggy,Restaurant_58,Mumbai,19.076,72.8777,Mumbai_Locality_6,QSR,Street Food; Mexican,Street Food; Mexican,1459,Luxury,10.5,3,False,True,True,2024-11-14,547,1469,3.9,3573,72,58,21,15,210,242048,234488,47,43142,43,0.7999999999999998,14,Swiggy,377,439406,425834
REST000059,Swiggy,Restaurant_59,Mumbai,19.076,72.8777,Mumbai_Locality_13,Casual Dining,Lebanese,Lebanese,307,Mid-Range,14.3,8,False,True,False,2019-06-05,2536,162,3.6,3057,91,48,21,6,165,40017,32509,46,3223,23,0.5,-2,Swiggy,307,75764,61795
REST000060,Swiggy,Restaurant_60,Mumbai,19.076,72.8777,Mumbai_Locality_5,Cafe,Multi-Cuisine,Multi-Cuisine,282,Budget,12.9,5,True,False,False,2025-12-29,137,1881,4.7,2628,84,46,18,40,212,49022,40118,51,7397,31,0.7000000000000002,-3,Swiggy,393,89345,72839
REST000061,Swiggy,Restaurant_61,Mumbai,19.076,72.8777,Mumbai_Locality_18,Food Truck,Korean,Korean,991,Premium,2.4,8,False,True,True,2016-12-18,3435,383,3.5,3931,31,30,23,12,88,67150,65786,46,-19394,-23,-0.9000000000000004,10,Zomato,199,154050,150966
REST000062,Swiggy,Restaurant_62,Mumbai,19.076,72.8777,Mumbai_Locality_6,Food Truck,Continental,Continental,663,Mid-Range,5.2,8,True,True,False,2025-10-11,216,2935,4.5,2336,46,39,21,22,151,79089,75616,50,12019,24,0.7000000000000002,-8,Swiggy,278,145607,139213
REST000063,Swiggy,Restaurant_63,Mumbai,19.076,72.8777,Mumbai_Locality_20,Cafe,Bakery; Mexican,Bakery; Mexican,759,Premium,9.8,4,False,False,False,2024-10-27,565,2069,3.8,2016,69,37,19,10,175,107588,101550,48,4191,5,0.09999999999999964,-9,Swiggy,345,210812,198909
REST000064,Swiggy,Restaurant_64,Mumbai,19.076,72.8777,Mumbai_Locality_8,Food Truck,Japanese,Japanese,658,Mid-Range,7.3,6,True,False,False,2020-08-14,2100,1125,4.1,3156,56,50,23,16,113,57252,54088,61,-1487,0,0.0,13,Zomato,226,115991,109663
REST000065,Swiggy,Restaurant_65,Mumbai,19.076,72.8777,Mumbai_Locality_2,Casual Dining,Bakery,Bakery,424,Mid-Range,1.2,7,True,True,False,2025-03-15,426,2057,4.0,890,30,33,19,16,230,78991,75541,51,0,0,0.0,12,Tie,460,157982,151082
REST000066,Swiggy,Restaurant_66,Mumbai,19.076,72.8777,Mumbai_Locality_12,QSR,Mughlai,Mughlai,1120,Premium,11.4,6,False,False,True,2020-12-17,1975,845,3.9,1132,77,44,18,10,195,179088,171580,63,6800,-5,-0.10000000000000009,-3,Swiggy,395,351568,336360
REST000067,Swiggy,Restaurant_67,Mumbai,19.076,72.8777,Mumbai_Locality_19,QSR,Mughlai; Mexican,Mughlai; Mexican,616,Mid-Range,5.0,8,False,False,False,2024-08-03,650,3000,3.7,4748,45,33,21,11,234,113873,108608,48,-3249,-7,-0.09999999999999964,5,Zomato,475,231153,220465
REST000068,Swiggy,Restaurant_68,Mumbai,19.076,72.8777,Mumbai_Locality_20,Cafe,Bakery,Bakery,1129,Premium,13.8,8,True,False,False,2020-01-12,2315,3605,3.9,4604,89,48,22,10,209,184049,174749,48,11191,21,0.3999999999999999,-3,Swiggy,397,355973,338307
REST000069,Swiggy,Restaurant_69,Mumbai,19.076,72.8777,Mumbai_Locality_16,Casual Dining,Seafood; Bakery,Seafood; Bakery,958,Premium,5.1,6,False,False,True,2024-09-30,592,1458,3.9,4459,45,40,19,6,210,162955,158230,52,-24112,-32,-0.6000000000000001,17,Zomato,452,350742,340572
REST000070,Swiggy,Restaurant_70,Mumbai,19.076,72.8777,Mumbai_Locality_2,Food Truck,Korean,Korean,431,Mid-Range,10.2,8,True,True,True,2021-08-08,1741,2205,4.4,3879,71,51,19,25,137,47828,42964,64,5029,9,0.3000000000000007,6,Swiggy,265,90307,80899
REST000071,Swiggy,Restaurant_71,Mumbai,19.076,72.8777,Mumbai_Locality_10,Fine Dine,Mediterranean; Fast Food,Mediterranean; Fast Food,1223,Luxury,13.2,4,True,True,False,2018-01-10,3047,67,4.3,3732,86,39,15,13,130,135141,129551,53,12135,15,0.5,-12,Swiggy,245,257502,246967
REST000072,Swiggy,Restaurant_72,Mumbai,19.076,72.8777,Mumbai_Locality_6,QSR,Korean; Bakery,Korean; Bakery,437,Mid-Range,9.4,5,False,True,True,2025-08-04,284,2646,3.8,791,67,32,19,9,232,82121,74349,45,-3095,-13,-0.20000000000000018,-13,Zomato,477,167773,151793
REST000073,Swiggy,Restaurant_73,Mumbai,19.076,72.8777,Mumbai_Locality_17,Cloud Kitchen,Seafood,Seafood,598,Mid-Range,13.9,7,False,False,True,2025-05-31,349,2911,3.4,3020,89,58,28,13,285,122709,110027,64,-3127,9,0.10000000000000009,7,Zomato,561,248145,223181
REST000074,Swiggy,Restaurant_74,Mumbai,19.076,72.8777,Mumbai_Locality_19,Fine Dine,Japanese; Bakery,Japanese; Bakery,336,Mid-Range,8.3,8,True,True,False,2021-07-15,1765,703,4.2,4787,61,45,13,11,138,40340,36131,41,464,0,0.0,7,Swiggy,276,80216,71798
REST000075,Swiggy,Restaurant_75,Mumbai,19.076,72.8777,Mumbai_Locality_2,Cafe,Chinese,Chinese,916,Premium,14.1,8,True,True,True,2017-10-22,3127,312,3.9,1119,90,58,22,15,146,104314,97744,62,-11678,-11,-0.30000000000000027,6,Zomato,303,220801,207166
REST000076,Swiggy,Restaurant_76,Mumbai,19.076,72.8777,Mumbai_Locality_14,QSR,Street Food; Japanese,Street Food; Japanese,215,Budget,8.2,3,True,True,True,2017-12-25,3063,3402,3.8,1554,60,43,22,8,250,41925,34425,60,-5656,-20,-0.2999999999999998,7,Zomato,520,90106,74506
REST000077,Swiggy,Restaurant_77,Mumbai,19.076,72.8777,Mumbai_Locality_7,Cloud Kitchen,Street Food,Street Food,1332,Luxury,11.4,6,False,False,False,2025-10-05,222,3208,3.7,4729,77,41,24,15,319,322930,310648,61,-29915,-26,-0.2999999999999998,-2,Zomato,664,676775,651211
REST000078,Swiggy,Restaurant_78,Mumbai,19.076,72.8777,Mumbai_Locality_17,Cafe,Biryani,Biryani,643,Mid-Range,5.1,6,True,False,True,2019-01-14,2678,1735,3.9,4416,45,37,22,13,173,86766,82873,59,-6707,-14,-0.30000000000000027,6,Zomato,360,180553,172453
REST000079,Swiggy,Restaurant_79,Mumbai,19.076,72.8777,Mumbai_Locality_7,Cloud Kitchen,Pan-Asian,Pan-Asian,594,Mid-Range,1.2,8,False,False,False,2022-01-07,1589,1574,4.2,4823,30,17,28,16,306,130870,126280,62,2096,29,0.40000000000000036,-11,Swiggy,583,259209,250464
REST000080,Swiggy,Restaurant_80,Mumbai,19.076,72.8777,Mumbai_Locality_9,Food Truck,Lebanese,Lebanese,566,Mid-Range,5.7,7,True,False,True,2019-11-25,2363,3645,4.9,3856,48,32,18,28,176,81685,77461,56,3081,7,0.20000000000000018,-8,Swiggy,345,160121,151841
REST000081,Swiggy,Restaurant_81,Mumbai,19.076,72.8777,Mumbai_Locality_11,Cloud Kitchen,Japanese; Biryani,Japanese; Biryani,436,Mid-Range,4.2,3,True,False,True,2024-09-29,593,3395,3.4,2895,41,32,25,5,298,97446,91337,73,-20152,-71,-0.8000000000000003,5,Zomato,667,216500,202826
REST000082,Swiggy,Restaurant_82,Mumbai,19.076,72.8777,Mumbai_Locality_17,Fine Dine,Continental,Continental,992,Premium,7.1,3,True,True,False,2024-02-19,816,277,4.0,4369,55,45,18,23,124,100866,97456,44,-4844,3,0.10000000000000009,6,Zomato,245,206494,199756
REST000083,Swiggy,Restaurant_83,Mumbai,19.076,72.8777,Mumbai_Locality_12,QSR,Desserts; Chinese,Desserts; Chinese,341,Mid-Range,14.4,6,True,True,False,2023-12-02,895,1910,4.3,670,92,49,21,12,244,65731,54507,55,3798,17,0.2999999999999998,-7,Swiggy,471,126882,105216
REST000084,Swiggy,Restaurant_84,Mumbai,19.076,72.8777,Mumbai_Locality_9,QSR,South Indian; Biryani,South Indian; Biryani,1352,Luxury,13.5,7,True,True,False,2020-09-02,2081,2338,4.3,138,87,57,23,14,255,265465,254372,61,-39029,-24,-0.40000000000000036,-2,Zomato,534,571003,547773
REST000085,Swiggy,Restaurant_85,Mumbai,19.076,72.8777,Mumbai_Locality_3,Fine Dine,Italian,Italian,1154,Premium,5.4,7,True,False,True,2018-04-22,2945,3179,4.3,2249,47,36,13,22,185,185736,181388,46,23430,18,0.3999999999999999,-6,Swiggy,352,347619,339346
REST000086,Swiggy,Restaurant_86,Mumbai,19.076,72.8777,Mumbai_Locality_4,Cafe,Mediterranean,Mediterranean,1032,Premium,1.8,7,True,True,True,2019-11-16,2372,1292,4.0,725,30,22,17,12,169,144758,142223,53,10055,8,0.20000000000000018,-8,Swiggy,330,279341,274391
